-----------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------
File                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                          
-----------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------
All files              |   65.48 |    41.93 |    74.5 |   66.06 |                                                                                                                                            
 classes               |   64.97 |    41.07 |   72.65 |   65.91 |                                                                                                                                            
  DAO.js               |   59.87 |     43.5 |   76.92 |   60.63 | 85,100,118,135-138,161,169,184-274,288-350,368,382,392-441,451-459,473,485,492,508,512,519,535,539,571-574,592,597,611,625,666,697,720,741 
  InternalOrder.js     |     100 |      100 |     100 |     100 |                                                                                                                                            
  Item.js              |     100 |      100 |     100 |     100 |                                                                                                                                            
  Position.js          |     100 |        0 |     100 |     100 | 2                                                                                                                                          
  RestockOrder.js      |      28 |      100 |       0 |   30.43 | 10-49                                                                                                                                      
  ReturnOrder.js       |   11.11 |        0 |       0 |    12.5 | 4-16                                                                                                                                       
  SKU.js               |   95.23 |        0 |    90.9 |   95.23 | 58                                                                                                                                         
  SKUItem.js           |    90.9 |        0 |      80 |    90.9 | 12                                                                                                                                         
  TestDescriptor.js    |     100 |      100 |     100 |     100 |                                                                                                                                            
  TestResult.js        |   85.71 |      100 |      50 |   85.71 | 11                                                                                                                                         
  TransportNote.js     |      50 |      100 |       0 |      50 | 3                                                                                                                                          
  User.js              |    92.3 |       50 |   85.71 |    92.3 | 12                                                                                                                                         
 classes/DAOs          |   65.16 |     42.5 |    74.9 |   65.37 |                                                                                                                                            
  InternalOrderDAO.js  |   80.21 |       50 |   92.85 |   80.21 | 14,30,46,62,87,103,116,129,142,155,168,171,186-192                                                                                         
  ItemDAO.js           |   74.07 |       50 |   86.95 |   74.07 | 24,38,63,84-95,107,130,143                                                                                                                 
  PositionDAO.js       |   86.66 |    57.14 |     100 |   86.66 | 15,31,48,62,77,90                                                                                                                          
  RestockOrderDAO.js   |   16.03 |     8.33 |   14.89 |   16.34 | 13-34,45,50,62,71-216                                                                                                                      
  ReturnOrderDAO.js    |   19.56 |     7.14 |   19.04 |      20 | 11-85,96                                                                                                                                   
  SKUDAO.js            |   86.36 |    57.14 |     100 |   86.04 | 15,29,46,73,90,103                                                                                                                         
  SKUItemDAO.js        |   74.19 |       50 |   84.61 |   73.77 | 14,35,38,53,80,91,111,125,154-166                                                                                                          
  TestDescriptorDAO.js |   84.61 |    55.55 |     100 |   84.61 | 15,18,32,54,78,94,114,128                                                                                                                  
  TestResultDAO.js     |   83.01 |    59.09 |     100 |   83.01 | 18,21,47,50,72,86,104,117,131                                                                                                              
  UserDAO.js           |   87.23 |    57.14 |     100 |   87.23 | 14,37,73,87,120,133                                                                                                                        
 test_modules          |   88.88 |       50 |     100 |   94.11 |                                                                                                                                            
  init_test_module.js  |   88.88 |       50 |     100 |   94.11 | 10                                                                                                                                         
-----------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------
